clip_id,frame_number,timestamp,height,width,top,left,label_category_attr:occlusion,object-id,object-name
cqibo8l2ijgtebr1,0,0.0,90.0,27.0,495.0,262.0,not-occluded,9330fbc0-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:1
cqibo8l2ijgtebr1,0,0.0,65.0,19.0,515.0,336.0,not-occluded,96e37c70-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:2
cqibo8l2ijgtebr1,0,0.0,94.0,19.0,496.0,362.0,major,9b599b40-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:3
cqibo8l2ijgtebr1,0,0.0,99.0,26.0,492.0,369.0,not-occluded,a101aa60-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:4
cqibo8l2ijgtebr1,30,1.001,90.0,27.0,495.0,215.0,not-occluded,9330fbc0-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:1
cqibo8l2ijgtebr1,30,1.001,69.0,22.0,514.0,279.0,not-occluded,96e37c70-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:2
cqibo8l2ijgtebr1,30,1.001,98.0,20.0,494.0,361.0,major,9b599b40-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:3
cqibo8l2ijgtebr1,30,1.001,99.0,26.0,492.0,369.0,not-occluded,a101aa60-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:4
cqibo8l2ijgtebr1,60,2.002,90.0,27.0,493.0,168.0,major,9330fbc0-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:1
cqibo8l2ijgtebr1,60,2.002,70.0,24.0,509.0,226.0,not-occluded,96e37c70-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:2
cqibo8l2ijgtebr1,60,2.002,98.0,20.0,494.0,361.0,major,9b599b40-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:3
cqibo8l2ijgtebr1,60,2.002,99.0,26.0,492.0,369.0,not-occluded,a101aa60-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:4
cqibo8l2ijgtebr1,90,3.003,100.0,20.0,493.0,362.0,major,9b599b40-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:3
cqibo8l2ijgtebr1,90,3.003,99.0,26.0,492.0,370.0,not-occluded,a101aa60-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:4
cqibo8l2ijgtebr1,120,4.004,98.0,20.0,495.0,362.0,major,9b599b40-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:3
cqibo8l2ijgtebr1,120,4.004,99.0,26.0,492.0,370.0,not-occluded,a101aa60-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:4
cqibo8l2ijgtebr1,150,5.005,98.0,20.0,494.0,361.0,major,9b599b40-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:3
cqibo8l2ijgtebr1,150,5.005,99.0,26.0,492.0,370.0,not-occluded,a101aa60-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:4
cqibo8l2ijgtebr1,180,6.006,98.0,20.0,494.0,361.0,major,9b599b40-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:3
cqibo8l2ijgtebr1,180,6.006,99.0,26.0,492.0,370.0,not-occluded,a101aa60-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:4
cqibo8l2ijgtebr1,210,7.007000000000001,98.0,20.0,497.0,357.0,major,9b599b40-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:3
cqibo8l2ijgtebr1,210,7.007000000000001,101.0,27.0,493.0,366.0,not-occluded,a101aa60-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:4
cqibo8l2ijgtebr1,240,8.008,96.0,20.0,507.0,314.0,major,9b599b40-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:3
cqibo8l2ijgtebr1,240,8.008,105.0,28.0,503.0,322.0,not-occluded,a101aa60-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:4
cqibo8l2ijgtebr1,270,9.009,141.0,37.0,500.0,127.0,major,9b599b40-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:3
cqibo8l2ijgtebr1,270,9.009,131.0,28.0,508.0,124.0,not-occluded,a101aa60-96b5-11eb-9dd2-bf31d9c6663f,pedestrian:4
cd5yfxqux05fq773,30,1.001,58.0,23.0,484.0,1011.0,not-occluded,a691d890-a396-11eb-80d8-43f5149c1f42,pedestrian:1
cd5yfxqux05fq773,60,2.002,65.0,24.0,476.0,1026.0,not-occluded,a691d890-a396-11eb-80d8-43f5149c1f42,pedestrian:1
cd5yfxqux05fq773,90,3.003,70.0,31.0,477.0,1003.0,not-occluded,a691d890-a396-11eb-80d8-43f5149c1f42,pedestrian:1
cd5yfxqux05fq773,120,4.004,73.0,32.0,473.0,915.0,not-occluded,a691d890-a396-11eb-80d8-43f5149c1f42,pedestrian:1
cd5yfxqux05fq773,150,5.005,92.0,42.0,467.0,605.0,not-occluded,a691d890-a396-11eb-80d8-43f5149c1f42,pedestrian:1
cptegpll4fpgfihe,0,0.0,49.0,31.0,507.0,1581.0,not-occluded,83c2bd50-2a2f-11ec-b974-b7327e5fa096,pedestrian:8
cptegpll4fpgfihe,30,1.0,47.0,28.0,500.0,1305.0,not-occluded,4e680d76-0e60-400c-818a-516e700dc8a5,vehicle:1
cptegpll4fpgfihe,30,1.0,50.0,28.0,505.0,1556.0,not-occluded,8997f6f0-2a2f-11ec-b974-b7327e5fa096,pedestrian:9
cptegpll4fpgfihe,60,2.0,51.0,29.0,498.0,1307.0,not-occluded,4e680d76-0e60-400c-818a-516e700dc8a5,vehicle:1
cptegpll4fpgfihe,60,2.0,47.0,22.0,505.0,1532.0,partial,8ec334f0-2a2f-11ec-b974-b7327e5fa096,pedestrian:10
cptegpll4fpgfihe,90,3.0,53.0,26.0,498.0,1311.0,not-occluded,4e680d76-0e60-400c-818a-516e700dc8a5,vehicle:1
cptegpll4fpgfihe,120,4.0,48.0,19.0,503.0,1316.0,major,96a26f60-2a2f-11ec-b974-b7327e5fa096,pedestrian:11
cptegpll4fpgfihe,150,5.0,42.0,28.0,509.0,1452.0,not-occluded,1d007c1c-89f7-4e6f-bc74-df5500247dc9,vehicle:3
cptegpll4fpgfihe,180,6.0,44.0,24.0,504.0,1308.0,not-occluded,9edd3750-2a2f-11ec-b974-b7327e5fa096,pedestrian:12
cptegpll4fpgfihe,180,6.0,54.0,23.0,503.0,1431.0,major,a0c94fe0-2a2f-11ec-b974-b7327e5fa096,pedestrian:13
cptegpll4fpgfihe,210,7.0,51.0,24.0,502.0,1407.0,not-occluded,e157a3ab-d645-4ef7-9524-1b254ebb2135,vehicle:6
cptegpll4fpgfihe,240,8.0,48.0,22.0,502.0,1311.0,not-occluded,930e06f0-0032-45fe-bdb1-7cd76168d95a,vehicle:7
cb9dfbyhv5au03dz,0,0.0,51.0,22.0,510.0,1183.0,not-occluded,dd5d7604-92ce-4591-8517-c9e2365a7e5f,vehicle:2
cb9dfbyhv5au03dz,30,1.0,49.0,22.0,510.0,1183.0,not-occluded,dd5d7604-92ce-4591-8517-c9e2365a7e5f,vehicle:2
cb9dfbyhv5au03dz,60,2.0,52.0,23.0,510.0,1182.0,not-occluded,dd5d7604-92ce-4591-8517-c9e2365a7e5f,vehicle:2
cb9dfbyhv5au03dz,90,3.0,49.0,25.0,510.0,1182.0,not-occluded,822f31b6-1647-4f29-9f83-6980ff1c912c,vehicle:4
cb9dfbyhv5au03dz,120,4.0,53.0,22.0,515.0,1192.0,not-occluded,822f31b6-1647-4f29-9f83-6980ff1c912c,vehicle:4
cb9dfbyhv5au03dz,150,5.0,56.0,29.0,510.0,1222.0,not-occluded,822f31b6-1647-4f29-9f83-6980ff1c912c,vehicle:4
cb9dfbyhv5au03dz,180,6.0,76.0,38.0,485.0,1287.0,not-occluded,822f31b6-1647-4f29-9f83-6980ff1c912c,vehicle:4
cb9dfbyhv5au03dz,210,7.0,112.0,57.0,517.0,1453.0,not-occluded,dd5d7604-92ce-4591-8517-c9e2365a7e5f,vehicle:2
cr35uj3m29bu5egu,0,0.0,328.0,139.0,441.0,854.0,not-occluded,47b69ae0-a39b-11eb-bd7e-9922bc59108c,pedestrian:1
cr35uj3m29bu5egu,0,0.0,288.0,65.0,452.0,779.0,not-occluded,4cd61910-a39b-11eb-bd7e-9922bc59108c,pedestrian:2
cr35uj3m29bu5egu,0,0.0,223.0,69.0,464.0,727.0,not-occluded,5071b660-a39b-11eb-bd7e-9922bc59108c,pedestrian:3
cr35uj3m29bu5egu,30,1.001,223.0,69.0,462.0,833.0,not-occluded,5071b660-a39b-11eb-bd7e-9922bc59108c,pedestrian:3
cr35uj3m29bu5egu,30,1.001,328.0,139.0,434.0,1027.0,not-occluded,47b69ae0-a39b-11eb-bd7e-9922bc59108c,pedestrian:1
cr35uj3m29bu5egu,30,1.001,278.0,81.0,452.0,911.0,not-occluded,4cd61910-a39b-11eb-bd7e-9922bc59108c,pedestrian:2
cr35uj3m29bu5egu,60,2.002,232.0,72.0,455.0,929.0,not-occluded,5071b660-a39b-11eb-bd7e-9922bc59108c,pedestrian:3
cr35uj3m29bu5egu,60,2.002,335.0,142.0,427.0,1167.0,not-occluded,47b69ae0-a39b-11eb-bd7e-9922bc59108c,pedestrian:1
cr35uj3m29bu5egu,60,2.002,265.0,101.0,458.0,1030.0,not-occluded,4cd61910-a39b-11eb-bd7e-9922bc59108c,pedestrian:2
cr35uj3m29bu5egu,90,3.003,232.0,72.0,458.0,1026.0,not-occluded,5071b660-a39b-11eb-bd7e-9922bc59108c,pedestrian:3
cr35uj3m29bu5egu,90,3.003,335.0,142.0,422.0,1331.0,not-occluded,47b69ae0-a39b-11eb-bd7e-9922bc59108c,pedestrian:1
cr35uj3m29bu5egu,90,3.003,260.0,99.0,456.0,1170.0,not-occluded,4cd61910-a39b-11eb-bd7e-9922bc59108c,pedestrian:2
cr35uj3m29bu5egu,120,4.004,225.0,89.0,461.0,1119.0,not-occluded,5071b660-a39b-11eb-bd7e-9922bc59108c,pedestrian:3
cr35uj3m29bu5egu,120,4.004,322.0,136.0,432.0,1479.0,partial,47b69ae0-a39b-11eb-bd7e-9922bc59108c,pedestrian:1
cr35uj3m29bu5egu,120,4.004,250.0,95.0,461.0,1310.0,not-occluded,4cd61910-a39b-11eb-bd7e-9922bc59108c,pedestrian:2
cr35uj3m29bu5egu,150,5.005,221.0,87.0,460.0,1223.0,not-occluded,5071b660-a39b-11eb-bd7e-9922bc59108c,pedestrian:3
cr35uj3m29bu5egu,150,5.005,303.0,128.0,443.0,1603.0,partial,47b69ae0-a39b-11eb-bd7e-9922bc59108c,pedestrian:1
cr35uj3m29bu5egu,150,5.005,245.0,93.0,464.0,1440.0,not-occluded,4cd61910-a39b-11eb-bd7e-9922bc59108c,pedestrian:2
cr35uj3m29bu5egu,180,6.006,221.0,87.0,458.0,1316.0,not-occluded,5071b660-a39b-11eb-bd7e-9922bc59108c,pedestrian:3
cr35uj3m29bu5egu,180,6.006,297.0,126.0,442.0,1701.0,partial,47b69ae0-a39b-11eb-bd7e-9922bc59108c,pedestrian:1
cr35uj3m29bu5egu,180,6.006,240.0,91.0,468.0,1546.0,partial,4cd61910-a39b-11eb-bd7e-9922bc59108c,pedestrian:2
cr35uj3m29bu5egu,210,7.007000000000001,245.0,93.0,467.0,1632.0,partial,4cd61910-a39b-11eb-bd7e-9922bc59108c,pedestrian:2
cr35uj3m29bu5egu,210,7.007000000000001,225.0,89.0,461.0,1405.0,not-occluded,5071b660-a39b-11eb-bd7e-9922bc59108c,pedestrian:3
cr35uj3m29bu5egu,210,7.007000000000001,309.0,131.0,455.0,1787.0,partial,47b69ae0-a39b-11eb-bd7e-9922bc59108c,pedestrian:1
cr35uj3m29bu5egu,240,8.008,193.0,30.0,481.0,1888.0,major,47b69ae0-a39b-11eb-bd7e-9922bc59108c,pedestrian:1
cr35uj3m29bu5egu,240,8.008,231.0,87.0,475.0,1730.0,partial,4cd61910-a39b-11eb-bd7e-9922bc59108c,pedestrian:2
cr35uj3m29bu5egu,240,8.008,217.0,85.0,472.0,1500.0,not-occluded,5071b660-a39b-11eb-bd7e-9922bc59108c,pedestrian:3
cr35uj3m29bu5egu,270,9.009,245.0,77.0,475.0,1841.0,partial,4cd61910-a39b-11eb-bd7e-9922bc59108c,pedestrian:2
cr35uj3m29bu5egu,270,9.009,230.0,91.0,481.0,1579.0,not-occluded,5071b660-a39b-11eb-bd7e-9922bc59108c,pedestrian:3
cbgy3sc465kbtoc7,60,2.002,85.0,27.0,498.0,1088.0,not-occluded,813901a0-a39a-11eb-b8e4-b3aa68f83d51,pedestrian:1
cbgy3sc465kbtoc7,90,3.003,467.0,179.0,435.0,1616.0,not-occluded,813901a0-a39a-11eb-b8e4-b3aa68f83d51,pedestrian:1
cbgy3sc465kbtoc7,180,6.006,63.0,25.0,505.0,648.0,not-occluded,8b66bff0-a39a-11eb-b8e4-b3aa68f83d51,pedestrian:2
cbgy3sc465kbtoc7,210,7.007000000000001,130.0,59.0,513.0,305.0,not-occluded,8b66bff0-a39a-11eb-b8e4-b3aa68f83d51,pedestrian:2
clnc594z7fkrud3h,0,0.0,206.0,114.0,469.0,1239.0,not-occluded,b4f7e530-a39d-11eb-a1fd-552a448645b8,pedestrian:1
clnc594z7fkrud3h,30,1.001,206.0,114.0,465.0,1138.0,not-occluded,b4f7e530-a39d-11eb-a1fd-552a448645b8,pedestrian:1
clnc594z7fkrud3h,60,2.002,198.0,110.0,465.0,1043.0,partial,b4f7e530-a39d-11eb-a1fd-552a448645b8,pedestrian:1
clnc594z7fkrud3h,90,3.003,198.0,110.0,467.0,979.0,major,b4f7e530-a39d-11eb-a1fd-552a448645b8,pedestrian:1
clnc594z7fkrud3h,120,4.004,198.0,110.0,472.0,901.0,major,b4f7e530-a39d-11eb-a1fd-552a448645b8,pedestrian:1
clnc594z7fkrud3h,150,5.005,198.0,110.0,466.0,847.0,major,b4f7e530-a39d-11eb-a1fd-552a448645b8,pedestrian:1
clnc594z7fkrud3h,180,6.006,202.0,112.0,458.0,763.0,not-occluded,b4f7e530-a39d-11eb-a1fd-552a448645b8,pedestrian:1
clnc594z7fkrud3h,210,7.007000000000001,179.0,70.0,467.0,754.0,partial,b4f7e530-a39d-11eb-a1fd-552a448645b8,pedestrian:1
clnc594z7fkrud3h,240,8.008,183.0,71.0,464.0,735.0,major,b4f7e530-a39d-11eb-a1fd-552a448645b8,pedestrian:1
clnc594z7fkrud3h,270,9.009,183.0,71.0,464.0,734.0,major,b4f7e530-a39d-11eb-a1fd-552a448645b8,pedestrian:1
cv8knyuxmu9vymlq,120,4.004,62.0,26.0,503.0,1104.0,not-occluded,6feba500-a14d-11eb-945e-cd4f6b3a251d,pedestrian:1
cv8knyuxmu9vymlq,150,5.005,82.0,34.0,502.0,1202.0,not-occluded,6feba500-a14d-11eb-945e-cd4f6b3a251d,pedestrian:1
cv8knyuxmu9vymlq,180,6.006,147.0,80.0,482.0,1481.0,not-occluded,6feba500-a14d-11eb-945e-cd4f6b3a251d,pedestrian:1
crsqmms4ampa7kog,180,6.0,53.0,26.0,498.0,1175.0,partial,2b1a43db-5578-42b0-9ea9-dfa39f63181c,vehicle:4
crsqmms4ampa7kog,210,7.0,181.0,78.0,447.0,1661.0,partial,2b1a43db-5578-42b0-9ea9-dfa39f63181c,vehicle:4
cztiry5mcb65zibm,0,0.0,143.0,53.0,463.0,1468.0,not-occluded,53edce00-a24c-11eb-a4a7-5ff960a490c4,pedestrian:1
cztiry5mcb65zibm,0,0.0,145.0,50.0,462.0,1425.0,major,571b8e50-a24c-11eb-a4a7-5ff960a490c4,pedestrian:2
cztiry5mcb65zibm,0,0.0,51.0,22.0,493.0,1137.0,not-occluded,8211c930-a24c-11eb-a4a7-5ff960a490c4,pedestrian:3
cztiry5mcb65zibm,30,1.001,170.0,61.0,467.0,1456.0,not-occluded,53edce00-a24c-11eb-a4a7-5ff960a490c4,pedestrian:1
cztiry5mcb65zibm,30,1.001,175.0,58.0,463.0,1401.0,partial,571b8e50-a24c-11eb-a4a7-5ff960a490c4,pedestrian:2
cztiry5mcb65zibm,30,1.001,53.0,26.0,502.0,1058.0,not-occluded,8211c930-a24c-11eb-a4a7-5ff960a490c4,pedestrian:3
cztiry5mcb65zibm,60,2.002,230.0,89.0,442.0,1626.0,major,53edce00-a24c-11eb-a4a7-5ff960a490c4,pedestrian:1
cztiry5mcb65zibm,60,2.002,239.0,108.0,439.0,1525.0,major,571b8e50-a24c-11eb-a4a7-5ff960a490c4,pedestrian:2
cztiry5mcb65zibm,60,2.002,61.0,26.0,495.0,1066.0,not-occluded,8211c930-a24c-11eb-a4a7-5ff960a490c4,pedestrian:3
cztiry5mcb65zibm,90,3.003,72.0,32.0,493.0,1107.0,not-occluded,8211c930-a24c-11eb-a4a7-5ff960a490c4,pedestrian:3
cztiry5mcb65zibm,90,3.003,412.0,132.0,375.0,1784.0,major,571b8e50-a24c-11eb-a4a7-5ff960a490c4,pedestrian:2
cztiry5mcb65zibm,90,3.003,203.0,132.0,429.0,1732.0,not-occluded,ab0444d0-a24c-11eb-a4a7-5ff960a490c4,pedestrian:4
cztiry5mcb65zibm,120,4.004,81.0,36.0,492.0,1216.0,not-occluded,8211c930-a24c-11eb-a4a7-5ff960a490c4,pedestrian:3
cztiry5mcb65zibm,150,5.005,108.0,43.0,501.0,1379.0,not-occluded,8211c930-a24c-11eb-a4a7-5ff960a490c4,pedestrian:3
cztiry5mcb65zibm,150,5.005,50.0,25.0,515.0,1175.0,not-occluded,d5e019e0-a24c-11eb-a4a7-5ff960a490c4,pedestrian:5
cztiry5mcb65zibm,150,5.005,58.0,20.0,509.0,1152.0,not-occluded,d8c9a540-a24c-11eb-a4a7-5ff960a490c4,pedestrian:6
cztiry5mcb65zibm,180,6.006,161.0,81.0,482.0,1608.0,not-occluded,8211c930-a24c-11eb-a4a7-5ff960a490c4,pedestrian:3
cztiry5mcb65zibm,180,6.006,61.0,22.0,501.0,1232.0,not-occluded,d5e019e0-a24c-11eb-a4a7-5ff960a490c4,pedestrian:5
